m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,reference.1,reference.2
250,France,,112,Maize (corn),2001,1.3,1.30%,213000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,113,Rice,2001,1.95,1.95%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,115,Barley,2001,0.8,0.80%,78000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,117,Oats,2001,0.41,0.41%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,1234,Tomatoes,2001,10.01,10.01%,86000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,2291,Raw milk of sheep,2001,0.74,0.74%,1883.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,231,"Hen eggs in shell, fresh",2001,0.85,0.85%,8700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,111,Wheat,2000,0.89,0.89%,334000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,112,Maize (corn),2000,1.3,1.30%,208000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,113,Rice,2000,0.86,0.86%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,115,Barley,2000,0.78,0.78%,76000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,117,Oats,2000,0.44,0.44%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,1234,Tomatoes,2000,10.26,10.26%,87000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,2291,Raw milk of sheep,2000,0.74,0.74%,1870.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
250,France,,231,"Hen eggs in shell, fresh",2000,0.87,0.87%,9000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2017,2.12,2.12%,13000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2017,4.91,4.91%,7000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2017,1.11,1.11%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2016,2.23,2.23%,13000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2016,3.69,3.69%,9000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2016,1.61,1.61%,4000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2015,2.26,2.26%,15000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2015,3.79,3.79%,7000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2015,1.61,1.61%,3000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2014,3.43,3.43%,10000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2014,4.06,4.06%,7000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2014,1.86,1.86%,4000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2013,1.77,1.77%,13000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2013,4.12,4.12%,15000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2013,3.14,3.14%,7000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2013,1.69,1.69%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2012,1.43,1.43%,14000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2012,4.12,4.12%,11000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2012,2.78,2.78%,4000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2012,1.98,1.98%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2011,1.39,1.39%,10000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2011,3.71,3.71%,10000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2011,3.13,3.13%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2011,1.83,1.83%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2010,1.56,1.56%,12000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2010,3.54,3.54%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2010,3.31,3.31%,4000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2010,0.44,0.44%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2009,1.76,1.76%,10000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2009,4.81,4.81%,14000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2009,3.33,3.33%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2009,0.92,0.92%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2008,5.84,5.84%,25000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2008,4.57,4.57%,15000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2008,2.84,2.84%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2008,1.03,1.03%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2007,3.83,3.83%,30000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2007,4.39,4.39%,13000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2007,3.52,3.52%,8000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2007,4.8,4.80%,11000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2006,3.62,3.62%,31000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2006,7.36,7.36%,16000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2006,3.08,3.08%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2006,7.11,7.11%,12000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2005,3.63,3.63%,35000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2005,6.17,6.17%,26000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2005,3.2,3.20%,8000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2005,4.16,4.16%,18000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2004,2.91,2.91%,30000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2004,4.87,4.87%,20000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2004,3.33,3.33%,6000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2004,2.62,2.62%,11000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2003,3.66,3.66%,39000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2003,4.98,4.98%,23000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2003,3.5,3.50%,7000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2003,3.06,3.06%,13000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2002,3.86,3.86%,38000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2002,5.25,5.25%,21000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2002,3.33,3.33%,3000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2002,3.37,3.37%,14000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2001,4.03,4.03%,40000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2001,5.54,5.54%,16000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2001,4.0,4%,6000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2001,2.84,2.84%,12000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,111,Wheat,2000,3.69,3.69%,34000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,112,Maize (corn),2000,5.74,5.74%,17000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1330,Grapes,2000,3.81,3.81%,8000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
268,Georgia,,1510,Potatoes,2000,2.65,2.65%,8000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2018,3.31,3.31%,670000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2018,4.96,4.96%,166000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2018,2.91,2.91%,279000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2018,3.54,3.54%,78000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2018,3.81,3.81%,22000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2018,3.0,3%,58000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2018,6.36,6.36%,233775.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2017,3.26,3.26%,797000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2017,3.34,3.34%,152000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2017,2.86,2.86%,310000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2017,3.8,3.80%,104000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2017,3.47,3.47%,20000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2017,3.02,3.02%,70000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2017,5.49,5.49%,234469.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1510,Potatoes,2017,11.63,11.63%,1363000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1705,"Peas, dry",2017,1.95,1.95%,5800.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1709.02,Lupins,2017,1.82,1.82%,960.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1709.9,Pulses n.e.,2017,2.28,2.28%,300.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,231,"Hen eggs in shell, fresh",2017,1.65,1.65%,13600.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2016,3.27,3.27%,799417.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2016,3.49,3.49%,140258.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2016,3.01,3.01%,323395.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2016,3.81,3.81%,120871.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2016,4.01,4.01%,21497.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2016,3.28,3.28%,78662.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2016,2.0,2%,91510.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1510,Potatoes,2016,11.29,11.29%,1216000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,231,"Hen eggs in shell, fresh",2016,1.1,1.10%,9000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2015,2.69,2.69%,715000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2015,2.93,2.93%,116400.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2015,2.33,2.33%,271000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2015,2.76,2.76%,96200.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2015,3.32,3.32%,18800.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2015,2.28,2.28%,59200.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2015,2.0,2%,100098.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1510,Potatoes,2015,12.65,12.65%,1312000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,231,"Hen eggs in shell, fresh",2015,1.1,1.10%,8800.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2014,2.58,2.58%,718000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2014,2.28,2.28%,117000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2014,2.32,2.32%,268000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2014,2.39,2.39%,92000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2014,2.87,2.87%,18000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2014,2.02,2.02%,60000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2014,2.0,2%,124950.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,231,"Hen eggs in shell, fresh",2014,1.14,1.14%,9000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2013,2.65,2.65%,663000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2013,2.78,2.78%,122000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2013,2.35,2.35%,243000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2013,2.32,2.32%,109000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2013,3.03,3.03%,19000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2013,1.99,1.99%,52000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2013,1.68,1.68%,97000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,23220.05,Starch of Potatoes,2013,0.91,0.91%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2012,2.7,2.70%,604000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2012,2.57,2.57%,142000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2012,2.36,2.36%,245000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2012,2.4,2.40%,93000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2012,3.04,3.04%,23000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2012,2.0,2%,46000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2012,1.62,1.62%,78000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,23220.05,Starch of Potatoes,2012,0.91,0.91%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2011,2.7,2.70%,614000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2011,2.7,2.70%,140000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2011,2.43,2.43%,212000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2011,2.66,2.66%,67000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2011,3.19,3.19%,20000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2011,2.05,2.05%,41000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2011,2.97,2.97%,115000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,23220.05,Starch of Potatoes,2011,0.71,0.71%,4000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2010,2.65,2.65%,638000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,112,Maize (corn),2010,3.02,3.02%,123000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,115,Barley,2010,2.31,2.31%,241000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,116,Rye,2010,2.58,2.58%,75000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,117,Oats,2010,3.0,3%,18000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1191,Triticale,2010,2.04,2.04%,44000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,1443,Rapeseed or colza seed,2010,2.23,2.23%,127000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,23220.05,Starch of Potatoes,2010,1.0,1%,5000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
276,Germany,,111,Wheat,2009,2.6,2.60%,654000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
